ID,date
557718,4.9.2020
7742718,19.3.2013
4783658,13.4.2019
9902395,3.2.2017
2842786,26.12.2006
1309545,8.6.2024
7925990,22.11.2001
4170267,28.9.2015
6958565,23.5.2005
7808145,19.4.2017
6460398,7.6.2007
4763916,20.9.2015
2287347,8.3.2016
6167454,28.11.2020
6172824,2.5.2009
1548270,5.12.2001
386649,16.12.2017
9020799,10.4.2009
4964378,8.6.2004
2900351,14.5.2005
362302,31.9.2017
4578293,9.3.2007
3756908,7.2.2011
434991,21.10.2022
9906399,13.1.2016
5489152,7.9.2021
4035127,10.7.2016
3495088,21.10.2010
9425173,20.2.2011
3713082,8.4.2008
3659194,16.2.2012
6285280,10.9.2013
3859894,25.1.2002
7673260,27.1.2014
8521020,21.9.2015
2535272,12.1.2015
3662026,16.9.2024
3673447,30.10.2001
1497166,29.8.2004
1551478,20.4.2017
2981718,23.3.2006
7860029,4.8.2009
1251706,22.9.2009
9256991,12.11.2015
703401,26.4.2022
6973693,1.5.2000
1400451,20.12.2020
1676228,1.12.2002
6551006,4.7.2006
5904232,30.1.2015
7548642,14.7.2023
2849868,12.11.2005
8506925,17.12.2003
967741,20.5.2016
3652838,26.3.2008
9994929,11.6.2013
8677401,14.10.2009
4340666,1.5.2004
7550832,29.9.2008
2419870,25.7.2003
1509676,1.9.2022
542050,19.8.2000
795688,7.3.2007
9804368,4.1.2005
9370603,16.11.2004
940592,12.3.2019
8101713,18.1.2021
9532814,21.11.2006
9026186,9.3.2003
7032062,21.3.2000
2046081,9.1.2016
2319300,27.11.2021
6812505,19.9.2017
1239453,8.5.2007
6135097,23.1.2001
5488657,18.11.2009
8626817,18.6.2024
877763,27.6.2013
357183,21.11.2020
7385742,12.12.2006
3447478,4.5.2023
2244882,29.7.2016
7776211,22.12.2007
1342183,24.9.2008
1830370,25.1.2021
3375912,24.6.2022
6555087,15.10.2009
510221,15.2.2013
4716343,7.12.2023
7348076,24.12.2000
9007165,14.4.2001
3767464,14.3.2012
9159115,1.8.2005
7725814,18.5.2010
9092291,26.2.2020
135849,16.1.2023
1467606,27.11.2014
2612871,8.11.2016
2845124,19.10.2013
